A|user1|0|127.0.0.1|10001|1763052714|1763496980|1763052714|user1|0|0|0|1|user1:2
a.txt|manik|0|127.0.0.1|10001|1763211167|1763485218|1763211167|manik|14|2|14|2|manik:2,navey:2
a2.txt|user1|0|127.0.0.1|10001|1763503020|1763507390|1763503020|user1|104|27|104|2|user1:2,user2:2
abc.txt|user1|0|127.0.0.1|10001|1762836835|1762836899|1762836835|user1|4|1|4|1|user1:2
aujla.txt|user1|0|127.0.0.1|10001|1763057695|1763485218|1763488902|user1|2|1|2|1|user1:2
b.txt|user1|0|127.0.0.1|10001|1763212685|1763496980|1763485403|user1|0|0|0|2|user1:2,user2:2
bla.txt|user1|0|127.0.0.1|10001|1762839106|1763496980|1762839106|user1|0|0|0|1|user1:2
c.txt|user1|0|127.0.0.1|10001|1763213670|1763485218|1763501618|user1|21|4|21|2|user1:2,user2:2
conc.txt|msnik|0|127.0.0.1|10001|1763210574|1763485218|1763210574|msnik|1|0|1|2|msnik:2,navey:2
d.txt|puri|0|127.0.0.1|10001|1763450163|1763485218|1763450163|puri|43|9|43|1|puri:2
f2.txt|RAKSHIT|0|127.0.0.1|10001|1762836052|1762836052|1762836052|RAKSHIT|0|0|0|1|RAKSHIT:2
f3.txt|ROHAN|0|127.0.0.1|10001|1762836052|1762836052|1763489771|ROHAN|0|0|0|1|ROHAN:2
file4.txt|ARNAV|0|127.0.0.1|10001|1762836052|1762836052|1762836052|ARNAV|0|0|0|1|ARNAV:2
h.txt|system|0|127.0.0.1|10001|1763496855|1763496855|1763496855|system|0|0|0|1|system:2
hair|system|0|127.0.0.1|10001|1763510392|1763510392|1763510392|system|0|0|0|1|system:2
hair,|user1|0|127.0.0.1|10001|1763510113|1763510113|1763510113|user1|0|0|0|1|user1:2
hair.txt|user1|0|127.0.0.1|10001|1763510120|1763510120|1763510120|user1|0|0|0|1|user1:2
hello.txt|system|0|127.0.0.1|10001|1763026743|1763485218|1763026743|system|0|0|0|1|system:2
input.txt|system|0|127.0.0.1|10001|1763026743|1763485218|1763026743|system|0|0|0|1|system:2
j.txt|user1|0|127.0.0.1|10001|1763501657|1763501657|1763502252|user1|0|0|0|2|user1:2,user2:2
l.txt|user1|0|127.0.0.1|10001|1763507658|1763507658|1763507658|user1|0|0|0|2|user1:2,user2:2
mouse.text|user2|0|127.0.0.1|10001|1762836052|1762836052|1762836052|user2|0|0|0|1|user2:2
mouse.txt|user1|0|127.0.0.1|10001|1762836052|1762836052|1762836052|user1|0|0|0|1|user1:2
o.txt|user1|0|127.0.0.1|10001|1763508573|1763508573|1763508900|user1|0|0|0|2|user1:2,user2:2
p.t|msnik|0|127.0.0.1|10001|1763210550|1763485218|1763210550|msnik|0|0|0|1|msnik:2
p.txt|manik|0|127.0.0.1|10001|1763211326|1763485218|1763211326|manik|18|4|18|1|manik:2
roh.txt|ROHAN|0|127.0.0.1|10001|1763489867|1763489867|1763489867|ROHAN|0|0|0|1|ROHAN:2
split.txt|user1|0|127.0.0.1|10001|1762836052|1762836052|1762836052|user1|0|0|0|1|user1:2
tabc.txt|user1|0|127.0.0.1|10001|1762836821|1762836821|1762836821|user1|0|0|0|1|user1:2
tal.txt|user1|0|127.0.0.1|10001|1763510409|1763510409|1763510409|user1|0|0|0|1|user1:2
test2.txt|user2|0|127.0.0.1|10001|1762836052|1762836774|1762836293|user1|52|16|52|2|user2:2,user1:2
yeye.txt|user1|0|127.0.0.1|10001|1762936925|1763496980|1762936925|user1|0|0|0|1|user1:2
yo.txt|system|0|127.0.0.1|10001|1763026743|1763485218|1763026743|system|0|0|0|1|system:2
